tsne_x,tsne_y,tsne_z
-12.001082,1.2183865,-1.0891416
3.5128853,1.82579,-9.173623
-12.099368,-1.0583804,1.2347841
1.7128742,1.2219894,-8.965476
1.9643348,-6.9508905,-5.6272025
4.937508,-0.58581537,-9.0589905
6.209271,-4.6083536,-7.033476
3.8567421,5.5254707,-7.2400837
-7.91346,8.186159,-2.5839653
6.8269815,-7.451108,-3.9804022
8.104143,-6.983928,-3.0806093
6.0996833,-9.265539,0.70908266
8.52366,-6.9031196,-2.4948215
10.332701,-5.2964168,1.8695139
6.5625315,2.8090363,8.732845
-0.73727846,-3.2879124,-7.7264147
-3.3096151,-9.039423,-3.1336312
7.8941283,-4.4889317,-5.4938407
3.9513283,-2.821959,9.166575
3.267581,-1.7269001,9.934188
3.1117432,-2.8296711,9.377573
-7.222307,2.6261294,-9.332836
3.2208247,6.566557,-6.465364
-6.2271266,8.663193,-3.9763994
-8.23668,6.619287,-4.696147
-5.697597,8.898418,-4.0051236
-8.67029,-5.575429,-3.4693546
5.4711914,5.0914426,7.411931
-10.750868,-3.1687613,1.7519764
2.0105975,5.634006,8.760924
1.9957603,3.1427708,10.969151
-12.200069,0.682147,-0.23974536
-8.915468,-9.483376,1.2285473
2.6053147,4.2903123,10.35157
0.44519845,-10.289393,1.9856861
-6.1328497,-7.862948,-3.9167762
-7.746452,-8.8632965,-2.3485334
4.200536,-5.914485,-7.005642
-8.895891,5.4330487,-5.3740487
-6.398433,2.509229,5.751278
8.026363,1.9831104,6.387778
-1.7492199,-10.205247,0.80792814
-2.6920314,-10.152889,1.5174605
-8.25924,7.0797825,-3.8336792
3.3742356,-0.39754874,10.592094
-10.221217,1.2673669,4.558043
3.796473,1.6405194,11.113
-5.9848733,3.1511376,5.771382
2.1120577,3.6311202,10.79188
-8.429059,-6.2913456,3.8806431
-8.05338,-5.520776,4.4509993
-8.385699,-4.0510974,4.6173816
-9.030454,-4.747406,3.8219786
-5.012508,-7.51942,-4.452856
7.562581,-2.131713,-7.3391542
-7.0483384,1.1011872,5.815422
-5.573416,-10.180604,-1.7512329
-1.3592246,-10.16438,0.5760815
9.662534,2.273786,-2.7615376
-6.9412365,2.9866946,-9.408236
7.0894074,7.884026,0.7089035
3.0565984,8.9918785,-0.6475217
-5.4806166,2.6454406,-9.546086
5.185888,-4.0353513,7.945039
4.822643,-1.8281332,9.353598
4.1392293,-1.7192827,9.719891
-9.400542,3.7981625,-7.022208
-5.816051,9.715461,-1.1392685
5.55459,-0.79563415,-8.922506
-2.7391021,9.623854,-4.5405283
9.498329,4.3594613,-0.9667436
-10.799934,-3.8173847,-0.7756732
-2.6852431,8.234847,-7.1459866
1.7036161,4.3223715,10.3196535
-9.324349,1.9551127,-7.7041616
0.01666435,4.617314,9.251217
-10.320821,1.1659391,4.51102
-1.6073248,9.586647,-3.7905157
-3.2196312,8.891474,-6.0631337
5.267842,-7.828751,-4.4887147
7.431896,-8.656156,1.9720656
7.64953,-8.603043,1.6988817
-5.9892845,7.185182,3.4910307
