tsne_x,tsne_y,tsne_z
6.9808517,-0.015582218,-8.309069
10.071223,0.5105243,-4.388089
3.9776387,-0.023167977,-8.845877
10.283849,2.4324439,4.315461
9.1116295,-2.1297834,5.7006264
-9.721097,3.969172,3.6909413
-2.4954886,5.0692573,8.872621
4.6088095,8.233136,2.6340103
3.971745,8.708939,1.6926786
3.9920032,8.717969,1.636659
9.69038,4.3440685,3.0195892
3.2361002,8.665615,2.3496804
3.4377468,8.733194,1.9873418
-7.921637,-7.110966,0.34701398
3.2293842,-4.6002207,-7.259885
-1.0084702,0.8107284,9.329602
-0.8166216,-10.619637,3.3185623
-0.00041219516,-3.3525712,8.190299
-2.324172,9.758049,3.8527598
8.802289,5.832886,2.0976398
4.6113906,-9.008786,2.0765076
4.157011,-9.115937,2.329072
9.838284,3.6602776,4.0148396
8.705349,-0.6812345,-6.918982
6.1919136,7.423875,-3.2944505
7.1961827,-6.302673,4.122218
4.3558655,8.505935,-1.4715921
9.441099,-2.9609346,-1.465462
-0.3455091,9.997015,2.0620322
5.7387805,-2.364999,-8.107648
7.913331,-2.3491118,-6.594417
4.438333,-8.750174,-4.0167346
6.5049005,7.0435543,3.4297688
5.0040092,8.540825,0.80476314
-9.710972,7.826263,1.3956337
-0.32459664,3.3464842,-8.031413
1.0259299,3.8798366,-7.890359
-10.57907,5.3239174,-3.456583
-10.929115,3.9698052,2.3386097
-2.396566,-10.253733,-0.86054575
6.278408,1.6711335,-8.638072
5.184763,5.675196,-6.8536754
7.1898932,-7.579207,-0.45039806
-5.9089017,-3.3647919,5.9049654
-7.360398,-3.9404204,4.6813116
0.18104956,2.98724,9.284893
10.042954,0.98943746,-4.5193686
-9.153312,8.824996,0.3144289
0.5686245,2.8900812,-8.265141
-9.228173,7.8401327,2.3289895
3.3346996,8.928634,1.122062
-5.2098546,-4.73267,-5.624427
9.541722,4.4328833,3.3230476
-2.698333,-10.80424,3.3356485
9.730195,1.0051537,-5.513456
-0.23456435,10.204274,0.3408881
6.4579234,-7.936047,-3.283222
6.016618,-8.100235,-3.6085498
6.614622,-7.3849607,-3.5404363
5.2552757,-9.122637,-3.0037808
6.2886553,6.7952447,-4.87117
9.315942,-4.03587,3.8978996
-4.292285,-2.1911001,-7.2808237
-6.51589,-7.4481316,-0.88299465
9.528534,-2.5472105,-1.8576727
5.5480847,-2.032687,-8.334278
7.610832,0.088947155,-7.9960957
5.25644,-2.1953638,-8.33778
-7.8792505,8.61659,-4.4620376
3.964136,-4.0905075,-7.5157027
-2.4850435,10.216,3.0134535
-2.1829147,9.616619,4.025337
-2.3833513,9.863626,3.694547
-11.268401,0.8657821,-3.5428236
6.9409356,1.0068607,7.497444
-10.665992,6.6948075,0.941673
0.93045723,-5.0292563,7.476748
1.5101565,-4.7930365,7.5565057
-11.966246,4.959807,-0.56400716
-8.455606,-6.773503,0.90255547
0.027167926,-4.6540623,7.698318
-9.977551,-5.706361,1.6474338
-7.5914273,-5.1293397,-4.774045
-11.941992,-3.7883615,1.4690455
-10.831455,4.4987745,2.2733707
7.371805,-6.0075808,4.3582907
-5.5506525,11.272774,-1.6477542
-4.814813,2.715725,8.4478245
-5.2313294,-3.1728895,6.389263
-8.958311,-4.1441836,3.651355
-10.377962,-4.005937,2.734683
-2.5109777,-10.694518,1.3943783
9.957152,-3.6061032,2.3836637
-10.472667,3.8009753,-4.4221206
4.7105465,-5.7128463,-5.819033
-1.4100692,-10.8389225,1.9176147
0.8933186,-3.5396585,8.132435
-12.358754,-0.110145964,-0.32953325
-12.367334,-1.087438,1.2965465
-12.3237505,-0.5585708,1.1277553
-11.398322,1.5843745,2.2242835
-7.4143143,-4.4034543,-5.1786113
4.1587563,-7.815076,4.2606153
-5.191861,-0.9867329,7.3094935
-6.9263325,-7.3910327,-0.46488413
-6.1235785,-3.3023736,5.8042026
5.517408,2.0457726,7.69788
-6.38767,10.525951,1.6151764
3.047888,-0.16525945,8.604575
10.358329,3.149765,0.9751151
-1.9648488,10.628097,1.6339455
9.928501,4.3698087,1.5276871
8.827783,5.106621,3.5818808
7.872747,6.1741223,3.259078
-6.041204,11.083201,0.019958723
-3.0613322,3.7027676,9.309774
1.9258195,9.214507,-0.97489303
-3.2551959,6.6622806,7.6081314
6.9499407,5.5323462,-6.3675776
-12.473532,3.034134,-1.7428067
1.384952,-6.806441,6.1163654
10.084817,0.9457939,-4.3329663
5.6093373,8.223224,1.8107708
-5.753202,11.196625,-1.7905823
8.339197,0.045758206,-7.5208144
-10.379353,-1.7696148,-4.4297347
-0.9448933,1.339893,9.452865
-0.7360957,-10.62038,3.2612307
8.801329,-3.3360267,5.3710546
-1.2652973,-4.7942443,7.4511743
-0.004934866,-1.0854514,8.800344
-1.3328393,-10.506321,-1.2853113
9.908594,-0.97193027,5.009103
-11.467916,-0.7803804,2.6167083
-6.2718854,-5.627801,-4.7193503
-3.4656072,11.223155,0.44509733
-1.5963994,-10.48628,4.108749
-6.722416,10.478105,-2.9161046
-3.8540144,11.511967,-1.5807643
-9.852939,-7.168445,-0.66556704
-11.732171,5.1098194,-1.5780882
5.360912,-2.1440105,-8.336971
0.33493134,-6.058249,6.734968
-7.392256,10.500099,0.13072218
-2.1162179,-7.985504,-3.7363477
-11.686579,-5.6920557,0.075433135
6.0094953,1.6344551,-8.686117
-2.173783,-10.676912,3.7559853
1.1444111,-4.928006,7.519909
1.4959776,-9.146365,-3.4676814
